NativeBirds, IslandEndemics,ExtinctIslandEndemics,NonEndemic, ExtinctNonEndemic,TotalExtinctions,Area,Elevation, FirstColonDate, Isolation, Latitude,ExoticMammals,Predators,Herbivores
52,21,3,31,1,4,1166.6,1397,5000,150,14,2,2,0
33,12,0,21,0,0,124.1,915,5000,150,14,0,0,0
14,0,0,14,0,0,17,350,5000,100,14,0,0,0
29,11,1,18,0,1,13,870,5000,150,14,0,0,0
24,3,0,21,0,0,44,100,5000,100,13,0,0,0
38,9,0,29,0,0,8,95,5000,150,14,0,0,0
28,9,1,19,0,1,19.9,600,5000,150,14,0,0,0
52,22,1,30,0,1,639.8,950,5000,150,14,2,2,0
35,6,0,29,1,1,91.9,424,5000,150,14,3,3,0
25,13,1,12,0,1,129.3,3,110,400,-8,4,3,1
10,2,0,8,0,0,1.17,10,110,400,-8,2,1,1
11,4,0,7,0,0,6.61,10,110,400,-8,0,0,0
20,11,5,9,5,10,86.5,911,300,2500,-37,9,5,4
35,19,0,16,0,0,6617.3,1850,225,2400,-48,11,4,7
27,16,0,11,0,0,295.6,1230,150,1500,-46,2,2,0
29,17,0,12,0,0,43.7,672,10000,1500,-46,1,1,0
35,19,0,16,0,0,432.5,1595,1000,270,-12,2,1,1
39,25,0,14,0,0,1012.9,2361,1000,270,-12,1,1,0
31,15,0,16,0,0,371.1,660,1000,270,-12,1,1,0
36,20,0,16,0,0,204.8,790,1000,270,-12,1,1,0
210,146,17,64,1,18,587713.3,2876,1500,400,-18,5,1,4
11,2,0,9,0,0,1.2,9,200,2950,-13,1,1,0
21,7,0,14,0,0,7.32,152,250,1000,-5,0,0,0
21,7,0,14,0,0,3,125,250,1000,-5,2,2,0
23,8,0,15,0,0,10.2,300,250,1000,-5,1,1,0
25,10,1,15,0,1,162.5,905,250,1000,-5,3,3,0
21,7,1,14,0,1,20,740,250,1000,-5,1,1,0
35,25,12,10,3,15,1873.8,828,400,870,-20,10,7,3
40,31,18,9,3,21,2535.2,3069,400,670,-21,7,5,2
20,14,10,6,1,11,107.8,396,400,1500,-19,4,4,0
28,17,0,11,0,0,20.5,402,200,2400,-49,4,1,3
34,20,0,14,0,0,442.5,664,200,1600,-50,8,4,4
24,12,0,12,0,0,113.3,567,200,1770,-53,7,4,3
14,5,0,9,0,0,0.08,148,130,1770,-47,0,0,0
28,17,9,11,1,10,14.6,875,200,600,-32,4,3,1
28,12,1,16,1,2,122.5,433,350,1500,-53,7,5,2
106,54,13,52,1,14,16648.4,1618,3000,1250,-22,10,6,4
33,17,8,16,0,8,36.8,318,900,1300,-28,5,3,2
22,9,0,13,0,0,3.41,152,130,1600,-47,1,0,1
16,9,0,7,0,0,1,330,130,1600,-47,0,0,0
16,12,3,4,0,3,110,628,2000,2100,5,1,1,0
29,18,1,11,0,1,334,791,2000,2100,7,2,2,0
19,10,0,9,0,0,105.4,173,2000,2100,9,3,3,0
35,22,14,13,5,19,1.13,286,500,2900,-43,3,1,2
12,7,4,5,2,6,16.5,200,3000,4200,-20,4,4,0
10,6,2,4,0,2,29.1,71,3000,4200,-20,0,0,0
30,22,15,8,2,17,34.5,169,3000,4200,-20,2,2,0
5,1,0,4,0,0,5.2,4,3000,4200,-20,2,2,0
8,4,2,4,1,3,19.7,25,3000,4200,-20,4,3,1
10,6,2,4,0,2,22.8,25,3000,4200,-20,0,0,0
2,1,0,1,0,0,1.2,7,3000,4200,-20,1,1,0
5,3,0,2,0,0,2.6,6,3000,4200,-20,0,0,0
9,3,0,6,0,0,9.8,8,3000,4200,-20,2,2,0
7,3,0,4,0,0,7,4,3000,4200,-20,0,0,0
11,9,2,2,0,2,67.6,653,3000,4200,-20,4,4,0
11,2,0,9,0,0,1.7,3,3000,4200,-20,1,1,0
30,19,18,11,11,29,173,511,1500,3700,-26,1,1,0
53,26,0,27,0,0,136.1,738,3500,2500,-17,2,2,0
55,29,0,26,0,0,450.3,805,3500,2500,-17,3,2,1
55,29,2,26,0,2,102.3,626,3500,2500,-17,2,2,0
24,10,0,14,0,0,44,256,3500,2500,-17,6,3,3
61,33,0,28,0,0,442.1,1241,3500,2500,-17,3,3,0
61,34,0,27,0,0,5587.1,1032,3500,2500,-17,5,4,1
67,39,4,28,1,5,10531,1224,3500,2500,-17,6,4,2
21,15,1,6,0,1,26.93,173,465,960,0,3,2,1
20,13,0,7,0,0,58.27,198,465,960,0,2,1,1
35,21,0,14,0,0,628.5,1494,465,960,0,1,1,0
37,18,4,19,1,5,180,640,465,960,0,8,5,3
21,11,0,10,0,0,17.35,76,465,960,0,1,1,0
44,22,1,22,0,1,4711.3,1707,465,960,0,9,5,4
18,12,0,6,0,0,17.95,458,465,960,0,1,1,0
40,17,3,23,0,3,546.6,896,465,960,0,7,4,3
39,19,1,20,0,1,979.3,864,465,960,0,8,5,3
19,13,0,6,0,0,24.08,259,465,960,0,2,1,1
36,21,0,15,0,0,585,900,465,960,0,6,4,2
41,35,17,6,0,17,10434,4169,1400,3700,21,11,4,7
44,34,14,10,0,14,1434.6,1598,1400,3700,21,8,4,4
19,14,8,5,0,8,358.4,1027,1400,3700,21,8,4,4
53,43,30,10,1,31,1903.3,3052,1400,3700,21,9,5,4
42,35,26,7,1,27,677.9,1515,1400,3700,21,10,5,5
54,40,28,14,1,29,1583.3,1227,1400,3700,21,9,5,4
9,4,0,5,0,0,20.7,70,4000,2200,-1,2,2,0
5,2,0,3,0,0,575,4,150,2650,3,1,1,0
8,7,1,1,0,1,40,965,3000,1800,16,0,0,0
6,5,0,1,0,0,11,744,3000,1800,16,0,0,0
5,5,0,0,0,0,30.8,787,3000,1800,16,1,0,1
6,3,0,3,0,0,7.4,891,3000,1800,16,2,2,0
20,11,8,9,3,11,541,393,3000,1800,16,8,5,3
14,8,0,6,0,0,4,301,3000,1800,16,0,0,0
11,5,0,6,0,0,2,227,3000,1800,16,0,0,0
5,1,0,4,0,0,0.9,81,3000,1800,16,0,0,0
13,7,1,6,1,2,46.6,579,3000,1800,16,3,3,0
15,7,0,8,2,2,95.7,491,3000,1800,16,3,3,0
18,8,0,10,1,1,122.9,474,3000,1800,16,4,4,0
5,4,0,1,0,0,4.9,549,3000,1800,16,1,0,1
15,6,0,9,1,1,102,170,3000,1800,16,7,4,3
6,3,0,3,0,0,2,319,3000,1800,16,0,0,0
3,3,0,0,0,0,43.8,576,2000,5800,-9,5,3,2
9,8,2,1,0,2,78,1118,2000,5800,-9,2,1,1
1,1,0,0,0,0,1.3,360,2000,5800,-9,0,0,0
4,3,0,1,0,0,18.1,428,2000,5800,-9,0,0,0
14,14,9,0,0,9,318,1190,2000,5800,-9,2,1,1
4,4,0,0,0,0,9,520,2000,5800,-9,3,1,2
12,11,4,1,0,4,345,1186,2000,5800,-9,3,1,2
15,15,10,0,0,10,70.8,1000,2000,5800,-9,1,1,0
26,25,21,1,1,22,82.4,856,2000,5800,-9,1,0,1
5,5,0,0,0,0,111.6,1231,2000,5800,-9,2,1,1
100,73,44,27,7,51,111582.8,2796,800,1800,-37,23,10,13
113,85,45,28,7,52,145836.4,3764,800,1500,-43,22,10,12
11,7,0,4,0,0,0.7,4,1000,5600,-25,0,0,0
26,19,9,7,3,12,37.3,33,1000,5600,-25,0,0,0
12,7,0,5,0,0,0.7,4,1000,5600,-25,0,0,0
6,4,0,2,1,1,4.2,347,1000,5600,-25,3,2,1
21,9,0,12,0,0,1.6,61,3500,3600,-13,0,0,0
27,14,3,13,1,4,7.5,494,3500,3600,-13,0,0,0
23,11,0,12,0,0,5.4,639,3500,3600,-13,0,0,0
11,3,0,8,0,0,0.1,3,3500,3600,-13,0,0,0
41,28,1,13,0,1,1717.6,1858,3500,3600,-13,3,2,1
10,2,0,8,0,0,3.6,6,3500,3600,-13,1,1,0
29,16,0,13,0,0,45.7,965,3500,3600,-13,0,0,0
27,13,0,14,0,0,142.3,653,3500,3600,-13,3,3,0
38,26,0,12,0,0,1125.1,1143,3500,3600,-13,2,2,0
6,4,1,2,0,1,21.9,727,3000,4400,-17,1,1,0
35,25,23,10,7,30,82.1,669,3000,4400,-17,1,1,0
6,1,0,5,0,0,9.5,154,3000,4400,-17,0,0,0
2,2,1,0,0,1,5,213,3000,4400,-17,1,1,0
5,2,1,3,0,1,2,433,3000,4400,-17,1,0,1
11,8,3,3,0,3,132,1207,3000,4400,-17,2,2,0
2,1,0,1,0,0,4,0.8,3000,4400,-17,0,0,0
22,16,7,6,0,7,1068.8,2241,3000,4400,-17,5,3,2
6,0,0,6,0,0,12.8,3,3000,4400,-17,0,0,0
1,1,0,0,0,0,21,10,3000,4400,-17,0,0,0
48,33,22,15,1,23,86.7,328,3500,3100,-20,0,0,0
15,6,0,9,0,0,52.3,205,3500,3100,-20,0,0,0
18,11,3,7,0,3,263.7,73,3500,3100,-20,2,2,0
12,7,1,5,0,1,28,111,2500,4800,-17,1,1,0
21,11,0,10,0,0,22,650,200,5500,-28,5,1,4
31,9,0,22,0,0,159.2,852,4000,1700,-16,2,2,0
43,18,0,25,0,0,899.5,647,4000,1700,-16,3,3,0
36,14,0,22,0,0,888.1,886,4000,1700,-16,0,0,0
49,22,0,27,0,0,3955.5,1879,4000,1700,-16,2,2,0
43,20,0,23,0,0,2041.3,879,4000,1700,-16,1,1,0
34,12,1,22,0,1,555,1084,4000,1700,-16,1,1,0
9,4,1,5,0,1,6.5,6,100,3100,19,2,2,0
